model,N,p,p_over_pc,S,replicate
ER_classic,1000,0.0006705882352941176,0.6705882352941176,0.027,2
ER_classic,1000,0.0006941176470588235,0.6941176470588235,0.024,2
ER_classic,1000,0.0007176470588235293,0.7176470588235293,0.024,2
ER_classic,1000,0.0007411764705882352,0.7411764705882352,0.02,2
ER_classic,1000,0.0007647058823529411,0.7647058823529411,0.022,2
ER_classic,1000,0.000788235294117647,0.7882352941176469,0.025,2
ER_classic,1000,0.0008117647058823529,0.8117647058823528,0.017,2
ER_classic,1000,0.0008352941176470588,0.8352941176470587,0.024,2
ER_classic,1000,0.0008588235294117647,0.8588235294117648,0.022,2
ER_classic,1000,0.0008823529411764706,0.8823529411764706,0.022,2
ER_classic,1000,0.0009058823529411765,0.9058823529411765,0.04,2
ER_classic,1000,0.0009294117647058824,0.9294117647058824,0.03,2
ER_classic,1000,0.0009529411764705883,0.9529411764705883,0.054,2
ER_classic,1000,0.0009764705882352941,0.9764705882352941,0.046,2
ER_classic,1000,0.001,1.0,0.238,2
ER_classic,1000,0.001023529411764706,1.0235294117647058,0.09,2
ER_classic,1000,0.0010470588235294118,1.0470588235294118,0.044,2
ER_classic,1000,0.0010705882352941177,1.0705882352941176,0.056,2
ER_classic,1000,0.0010941176470588235,1.0941176470588234,0.095,2
ER_classic,1000,0.0011176470588235294,1.1176470588235294,0.21,2
ER_classic,1000,0.0011411764705882353,1.1411764705882352,0.211,2
ER_classic,1000,0.0011647058823529412,1.1647058823529413,0.282,2
ER_classic,1000,0.001188235294117647,1.188235294117647,0.189,2
ER_classic,1000,0.001211764705882353,1.2117647058823529,0.178,2
ER_classic,1000,0.0012352941176470588,1.2352941176470589,0.351,2
ER_classic,1000,0.0012588235294117647,1.2588235294117647,0.403,2
ER_classic,1000,0.0012823529411764706,1.2823529411764705,0.461,2
ER_classic,1000,0.0013058823529411765,1.3058823529411765,0.458,2
ER_classic,1000,0.0013294117647058823,1.3294117647058823,0.485,2
ER_classic,1000,0.0013529411764705882,1.352941176470588,0.548,2
ER_classic,1000,0.001376470588235294,1.3764705882352941,0.361,2
ER_classic,1000,0.0014,1.4,0.46,2
ER_classic,1000,0.0006,0.6,0.009,3
ER_classic,1000,0.0006235294117647058,0.6235294117647058,0.021,3
ER_classic,1000,0.0006470588235294117,0.6470588235294117,0.015,3
ER_classic,1000,0.0006705882352941176,0.6705882352941176,0.02,3
ER_classic,1000,0.0006941176470588235,0.6941176470588235,0.012,3
ER_classic,1000,0.0007176470588235293,0.7176470588235293,0.021,3
ER_classic,1000,0.0007411764705882352,0.7411764705882352,0.013,3
ER_classic,1000,0.0007647058823529411,0.7647058823529411,0.021,3
ER_classic,1000,0.000788235294117647,0.7882352941176469,0.026,3
ER_classic,1000,0.0008117647058823529,0.8117647058823528,0.021,3
ER_classic,1000,0.0008352941176470588,0.8352941176470587,0.034,3
ER_classic,1000,0.0008588235294117647,0.8588235294117648,0.019,3
ER_classic,1000,0.0008823529411764706,0.8823529411764706,0.025,3
ER_classic,1000,0.0009058823529411765,0.9058823529411765,0.056,3
ER_classic,1000,0.0009294117647058824,0.9294117647058824,0.078,3
ER_classic,1000,0.0009529411764705883,0.9529411764705883,0.108,3
ER_classic,1000,0.0009764705882352941,0.9764705882352941,0.033,3
ER_classic,1000,0.001,1.0,0.125,3
ER_classic,1000,0.001023529411764706,1.0235294117647058,0.061,3
ER_classic,1000,0.0010470588235294118,1.0470588235294118,0.11,3
ER_classic,1000,0.0010705882352941177,1.0705882352941176,0.253,3
ER_classic,1000,0.0010941176470588235,1.0941176470588234,0.2,3
ER_classic,1000,0.0011176470588235294,1.1176470588235294,0.256,3
ER_classic,1000,0.0011411764705882353,1.1411764705882352,0.075,3
ER_classic,1000,0.0011647058823529412,1.1647058823529413,0.332,3
ER_classic,1000,0.001188235294117647,1.188235294117647,0.258,3
ER_classic,1000,0.001211764705882353,1.2117647058823529,0.387,3
ER_classic,1000,0.0012352941176470588,1.2352941176470589,0.405,3
ER_classic,1000,0.0012588235294117647,1.2588235294117647,0.18,3
ER_classic,1000,0.0012823529411764706,1.2823529411764705,0.457,3
