model,N,p,p_over_pc,S,replicate
ER_classic,500,0.001576470588235294,0.7882352941176469,0.04,5
ER_classic,500,0.0016235294117647057,0.8117647058823528,0.11,5
ER_classic,500,0.0016705882352941175,0.8352941176470587,0.032,5
ER_classic,500,0.0017176470588235295,0.8588235294117648,0.038,5
ER_classic,500,0.0017647058823529412,0.8823529411764706,0.12,5
ER_classic,500,0.001811764705882353,0.9058823529411765,0.146,5
ER_classic,500,0.0018588235294117648,0.9294117647058824,0.044,5
ER_classic,500,0.0019058823529411765,0.9529411764705883,0.068,5
ER_classic,500,0.0019529411764705883,0.9764705882352941,0.134,5
ER_classic,500,0.002,1.0,0.036,5
ER_classic,500,0.002047058823529412,1.0235294117647058,0.202,5
ER_classic,500,0.0020941176470588236,1.0470588235294118,0.178,5
ER_classic,500,0.0021411764705882353,1.0705882352941176,0.226,5
ER_classic,500,0.002188235294117647,1.0941176470588234,0.132,5
ER_classic,500,0.002235294117647059,1.1176470588235294,0.21,5
ER_classic,500,0.0022823529411764706,1.1411764705882352,0.202,5
ER_classic,500,0.0023294117647058824,1.1647058823529413,0.194,5
ER_classic,500,0.002376470588235294,1.188235294117647,0.304,5
ER_classic,500,0.002423529411764706,1.2117647058823529,0.358,5
ER_classic,500,0.0024705882352941176,1.2352941176470589,0.328,5
ER_classic,500,0.0025176470588235294,1.2588235294117647,0.366,5
