model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,100,4,0.1643181740404294,1.1,0.16808080808080808,0.2,0.32558139534883723,86,3.9310344827586206,1
ER,100,4,0.17046912173178236,1.1411764705882352,0.1703030303030303,0.14,0.15492957746478872,71,4.766666666666667,1
ER,100,4,0.17662006942313535,1.1823529411764706,0.17232323232323232,0.4,0.4,140,8.69047619047619,1
ER,100,4,0.18277101711448832,1.223529411764706,0.18444444444444444,0.47,0.3388888888888889,180,25.77310924369748,1
ER,100,4,0.18892196480584128,1.2647058823529411,0.18808080808080807,0.56,0.536144578313253,166,5.4935064935064934,1
ER,100,4,0.19507291249719427,1.3058823529411767,0.19151515151515153,0.74,0.7091836734693877,196,3.0350877192982457,1
ER,100,4,0.20122386018854724,1.3470588235294119,0.20424242424242425,0.91,0.8308823529411765,272,3.608695652173913,1
ER,100,4,0.2073748078799002,1.388235294117647,0.20747474747474748,0.88,0.7665505226480837,287,4.522388059701493,1
ER,100,4,0.21352575557125317,1.4294117647058824,0.20686868686868687,0.92,0.8986666666666666,375,3.736842105263158,1
ER,100,4,0.21967670326260613,1.4705882352941175,0.21515151515151515,0.85,0.7401315789473685,304,5.6075949367088604,1
ER,100,4,0.22582765095395912,1.5117647058823531,0.22626262626262628,0.97,0.9164926931106472,479,2.6,1
ER,100,4,0.2319785986453121,1.5529411764705883,0.23212121212121212,0.97,0.9491833030852994,551,1.4285714285714286,1
ER,100,4,0.23812954633666505,1.5941176470588236,0.24262626262626263,0.99,0.9924433249370277,794,1.3333333333333333,1
ER,100,4,0.24428049402801805,1.635294117647059,0.24363636363636362,1.0,0.9885452462772051,873,1.4,1
ER,100,4,0.250431441719371,1.676470588235294,0.25393939393939396,1.0,0.9767932489451476,948,3.8181818181818183,1
ER,100,4,0.256582389410724,1.7176470588235295,0.2507070707070707,1.0,0.9956896551724138,928,1.0,1
ER,100,4,0.2627333371020769,1.7588235294117645,0.26141414141414143,1.0,0.9940677966101695,1180,1.2857142857142858,1
ER,100,4,0.2688842847934299,1.8,0.27151515151515154,1.0,0.9994100294985251,1695,1.0,1
ER,100,4,0.05975206328742887,0.4,0.061414141414141414,0.04,1.0,1,0.0,2
ER,100,4,0.06590301097878185,0.44117647058823534,0.06464646464646465,0.04,1.0,1,0.0,2
ER,100,4,0.07205395867013481,0.4823529411764706,0.06646464646464646,0.0,0.0,0,0.0,2
ER,100,4,0.07820490636148779,0.5235294117647059,0.07575757575757576,0.04,1.0,1,0.0,2
ER,100,4,0.08435585405284077,0.5647058823529413,0.08,0.0,0.0,0,0.0,2
ER,100,4,0.09050680174419373,0.6058823529411765,0.08828282828282828,0.04,0.3333333333333333,3,1.0,2
ER,100,4,0.0966577494355467,0.6470588235294118,0.09656565656565656,0.06,0.375,8,1.4,2
ER,100,4,0.10280869712689968,0.6882352941176471,0.09696969696969697,0.05,1.0,2,0.0,2
ER,100,4,0.10895964481825265,0.7294117647058824,0.1111111111111111,0.08,0.5555555555555556,9,1.0,2
ER,100,4,0.11511059250960562,0.7705882352941177,0.11313131313131314,0.05,0.2,10,1.25,2
ER,100,4,0.12126154020095858,0.8117647058823529,0.11757575757575757,0.06,0.5454545454545454,11,1.4,2
ER,100,4,0.12741248789231158,0.8529411764705883,0.12343434343434344,0.07,0.36363636363636365,11,1.2857142857142858,2
ER,100,4,0.13356343558366454,0.8941176470588236,0.13777777777777778,0.06,0.12,25,1.8181818181818181,2
ER,100,4,0.1397143832750175,0.9352941176470588,0.1414141414141414,0.06,0.13043478260869565,23,1.6,2
ER,100,4,0.14586533096637047,0.9764705882352941,0.14585858585858585,0.1,0.3125,32,1.7272727272727273,2
ER,100,4,0.15201627865772346,1.0176470588235296,0.1484848484848485,0.06,0.24,25,1.631578947368421,2
ER,100,4,0.15816722634907643,1.0588235294117647,0.15353535353535352,0.14,0.1875,64,3.9615384615384617,2
ER,100,4,0.1643181740404294,1.1,0.1501010101010101,0.07,0.11428571428571428,35,1.967741935483871,2
ER,100,4,0.17046912173178236,1.1411764705882352,0.1696969696969697,0.08,0.14864864864864866,74,4.777777777777778,2
ER,100,4,0.17662006942313535,1.1823529411764706,0.1781818181818182,0.31,0.2446043165467626,139,6.238095238095238,2
ER,100,4,0.18277101711448832,1.223529411764706,0.18585858585858586,0.34,0.27741935483870966,155,14.053571428571429,2
ER,100,4,0.18892196480584128,1.2647058823529411,0.19757575757575757,0.6,0.47029702970297027,202,9.728971962616823,2
ER,100,4,0.19507291249719427,1.3058823529411767,0.1903030303030303,0.64,0.5947368421052631,190,9.675324675324676,2
ER,100,4,0.20122386018854724,1.3470588235294119,0.2008080808080808,0.6,0.45145631067961167,206,6.557522123893805,2
ER,100,4,0.2073748078799002,1.388235294117647,0.21474747474747474,0.91,0.8823529411764706,340,2.5,2
ER,100,4,0.21352575557125317,1.4294117647058824,0.21838383838383837,0.95,0.891358024691358,405,2.4545454545454546,2
ER,100,4,0.21967670326260613,1.4705882352941175,0.21595959595959596,0.96,0.8709677419354839,341,6.818181818181818,2
ER,100,4,0.22582765095395912,1.5117647058823531,0.21696969696969698,0.97,0.8831168831168831,385,5.0,2
ER,100,4,0.2319785986453121,1.5529411764705883,0.23959595959595958,1.0,0.9839901477832512,812,1.4615384615384615,2
ER,100,4,0.23812954633666505,1.5941176470588236,0.24242424242424243,1.0,0.9772423025435074,747,1.588235294117647,2
ER,100,4,0.24428049402801805,1.635294117647059,0.24282828282828284,1.0,0.9801418439716312,705,1.7142857142857142,2
ER,100,4,0.250431441719371,1.676470588235294,0.25575757575757574,1.0,0.9895833333333334,960,2.4,2
ER,100,4,0.256582389410724,1.7176470588235295,0.25313131313131315,1.0,0.9917269906928645,967,1.0,2
ER,100,4,0.2627333371020769,1.7588235294117645,0.2694949494949495,1.0,0.9978962131837307,1426,1.6666666666666667,2
ER,100,4,0.2688842847934299,1.8,0.28383838383838383,1.0,0.9990375360923965,2078,1.0,2
ER,100,4,0.05975206328742887,0.4,0.06121212121212121,0.0,0.0,0,0.0,3
ER,100,4,0.06590301097878185,0.44117647058823534,0.0703030303030303,0.0,0.0,0,0.0,3
ER,100,4,0.07205395867013481,0.4823529411764706,0.07777777777777778,0.0,0.0,0,0.0,3
ER,100,4,0.07820490636148779,0.5235294117647059,0.08424242424242424,0.04,0.5,2,1.0,3
ER,100,4,0.08435585405284077,0.5647058823529413,0.08464646464646465,0.06,0.6,5,1.0,3
ER,100,4,0.09050680174419373,0.6058823529411765,0.09151515151515152,0.04,0.3333333333333333,3,1.0,3
ER,100,4,0.0966577494355467,0.6470588235294118,0.09696969696969697,0.0,0.0,0,0.0,3
ER,100,4,0.10280869712689968,0.6882352941176471,0.09818181818181818,0.04,0.2,5,1.0,3
ER,100,4,0.10895964481825265,0.7294117647058824,0.11454545454545455,0.04,0.3333333333333333,3,1.0,3
ER,100,4,0.11511059250960562,0.7705882352941177,0.11737373737373738,0.05,0.16666666666666666,12,1.0,3
ER,100,4,0.12126154020095858,0.8117647058823529,0.12080808080808081,0.07,0.36363636363636365,11,1.8571428571428572,3
ER,100,4,0.12741248789231158,0.8529411764705883,0.12646464646464647,0.08,0.2777777777777778,18,1.3076923076923077,3
ER,100,4,0.13356343558366454,0.8941176470588236,0.13373737373737374,0.07,0.18181818181818182,22,1.8888888888888888,3
ER,100,4,0.1397143832750175,0.9352941176470588,0.14202020202020202,0.07,0.14285714285714285,28,1.1666666666666667,3
ER,100,4,0.14586533096637047,0.9764705882352941,0.13696969696969696,0.06,0.1875,16,1.3076923076923077,3
ER,100,4,0.15201627865772346,1.0176470588235296,0.14909090909090908,0.11,0.2222222222222222,36,1.7142857142857142,3
